,index,date,id,title,content,im_votesum,im_votecount,score,version,author,source,userImage,thumbsUpCount,replyContent,repliedAt
9087,,2020-04-07 13:33:25+00:00,,,"Ohne eine Smartwatch von Fitbit, Garmin oder Polar nicht nutzbar. Meine Amazfit wird nicht unterstützt.",,,2,1.0.1,kitzl katzl,PlayStore,https://lh3.googleusercontent.com/a-/AOh14Gh0Rs9sU9oOPngDmslNH-wdGny85iyd83DyBnVamg,0.0,,
3072,,2020-04-10 15:13:27+00:00,,,"Na ja, Anmeldung nach mehreren Versuchen erfolgreich, aber nach nun schon bald ne Woche immer noch 0 Daten gesendet?? Verbunden mit Fitbit funktioniert aber er sendet nix. Und schön wäre es dann,wenn man sieht was gesendet wird",,,2,1.0.1,Vera Witte,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GjfzWt_BSE9QVWFkHSORGtrYxvHQDCxlZ4V83_A,0.0,,
7807,,2020-04-07 18:36:38+00:00,,,Was ist denn mit Smartwatch von Samsung?,,,2,1.0.1,Henrik Liedtke,PlayStore,https://lh3.googleusercontent.com/-74YjPHVmfHQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn6Ka7ThtpdAM-9N_5xea7g4o7oGA/photo.jpg,0.0,,
8889,,2020-04-07 14:46:19+00:00,,,Ich würde die App ja nutzen aber geht mit Samsung Gear nicht.,,,3,1.0.1,Jörg Wirtz,PlayStore,https://lh3.googleusercontent.com/-aPohK0vVFdk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8GlgJsUqLQT9y-u532WfsQQivVA/photo.jpg,0.0,,
6680,,2020-04-07 23:18:39+00:00,,,"Ich finde die Idee sehr gut und bin da bei. Leider ist die App ,,VeriFitPro"" nicht da bei. Aber trotzdem wegen der Idee alleine schon 3 Sterne.",,,3,1.0.1,Caspar Stichnoth,PlayStore,https://lh3.googleusercontent.com/-2UJzgbCTf3Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmxv-C2tLLWrdTIkKMD_MUrmt8xLg/photo.jpg,0.0,,
8044,,2020-04-07 17:43:55+00:00,,,Google fit registriert nicht findet nicht meinen Nutzer name nicht und Passwort gehen nicht. Oder eine Verbindung mit Samsung health wäre auch nicht schlecht,,,3,1.0.1,Mike Rahn,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GgovS04X5Apz69pIkQPvGzFr0V0VTuPU5LOUDpVYA,0.0,,
6775,,2020-04-07 22:35:42+00:00,,,Funktioniert leider nicht. Mein Fitness Tracker (Samsung Health) steht gar nicht zur Auswahl und als ich mich über google einloggen wollte bekam ich eine Fehlermeldung. Wenn das behoben ist bewerte ich gerne neu und spende auch gerne meine Daten.,,,3,1.0.1,nina m.,PlayStore,https://lh3.googleusercontent.com/-nRW57yTcJ8I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmy4ijGzAWlumI9PcEBsPtuBDRfDA/photo.jpg,0.0,,
8752,,2020-04-07 15:18:54+00:00,,,Unterstützt leider nicht das Huawei Smartwatch OS LiteOs bzw Huawei Health Kopplung. Kann es daher nicht verwenden. Schade,,,3,1.0.1,Dave D,PlayStore,https://lh3.googleusercontent.com/-pF7e5eKMgPo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckkV8Xi183MtdX9eCb_ZZb2vNuU5Q/photo.jpg,0.0,,
5380,,2020-04-08 15:39:33+00:00,,,"Gerne hätte ich die App genutzt und mit meiner Datenspende geholfen. Leider wird mein Modell nicht unterstützt (H-Band). Ich hoffe, dass dies bald möglich sein wird, um möglichst viele Daten sammeln zu können.",,,3,1.0.1,Flora Larousse,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GiTzID0XgzEKPId7Jvt5e-1aQMZdueWCrnjnIjO,0.0,,
8857,,2020-04-07 14:58:12+00:00,,,Leider fehlt einer der größten smartwatch Hersteller :Samsung,,,3,1.0.1,Sebastian Deißenberger,PlayStore,https://lh3.googleusercontent.com/-UF2Ojluxu_Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnBoXXPzZ7koCaFuif8GD8Yptn4yQ/photo.jpg,0.0,,
7639,,2020-04-07 19:07:31+00:00,,,"Update: Fehler 403: rate_limit_exceeded Bei dieser App wurden die empfohlenen Raten für Nutzer überschritten, die sich über Google anmelden Wenn Sie ein Entwickler dieser App sind, wenden Sie sich an den Support, um die Anmeldung über Google wieder zu aktivieren. Aktuell leider daher nicht nutzbar da sich die Emailadresse beim anmelden nicht eingeben lässt. Ich werde es in ein paar Tagen noch einmal probieren.",,,3,1.0.1,Manoel Schäfer,PlayStore,https://lh3.googleusercontent.com/-Mrj0qyFfA6w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckNY8bjZXQYnxswbjnrexL3nrmJVQ/photo.jpg,2.0,,
8939,,2020-04-07 14:21:41+00:00,,,"Ich hät ja gern geholfen aber Sie sind in der Nutzer Begrenzung von goggle fit gelandet. Es wäre auch schön, wenn Sie weitere Fitnesstrackee hinzufügen.",,,3,1.0.1,Mathias Lähns,PlayStore,https://lh3.googleusercontent.com/-Kh5oQok-IZA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnWIoWI-bMgmUYhXsIx6IYkhaxplg/photo.jpg,1.0,,
7716,,2020-04-07 18:55:32+00:00,,,"Habe erst nach Installation und Anmelde-Versuch bemerkt das es leider keinen Sinn bei mir macht da ich kein ""wearable"" habe. Damit also leider ohne Wert. App sollte deutlicher darauf hinweisen daß man einen Fitnesstracker braucht um mitmachen zu können. Und da wohl nur eine Minderheit so was hat wird sich diese App wohl leider nicht durchsetzen.",,,3,1.0.1,And Res,PlayStore,https://lh3.googleusercontent.com/-HpaVLaY0YfM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmgbkDzGdzqGunEbH9UD_ceFnGCwg/photo.jpg,14.0,,
8972,,2020-04-07 14:11:59+00:00,,,"Ich würde diese app auch gerne unterstützen. Mein Fitnessarmband von dem Hersteller Beurer ist leider nicht bei den angegebenen Herstellen dabei, so das ich leider keine Daten spenden kann. Schade",,,4,1.0.1,Frank Gundlach,PlayStore,https://lh3.googleusercontent.com/-2BHPCm-MdKE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl26-8we89pTGg767sv89xOIF4S8Q/photo.jpg,0.0,,
7140,,2020-04-07 20:42:23+00:00,,,"Eine tolle Sache, viele Smartwatches werden jedoch noch nicht unterstützt , bin dabei, sobald Samsung Smartwatces kompatibel sind👍🏼...",,,4,1.0.1,Martin Fleige,PlayStore,https://lh3.googleusercontent.com/-LFFYkhqaEBE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnBFJjdBzVnizq_L4QBVLYuF17zRQ/photo.jpg,0.0,,
8574,,2020-04-07 15:53:36+00:00,,,Xiaomi Mi Band 4 wird leider auch noch nicht unterstützt.,,,4,1.0.1,Mister Karotte,PlayStore,https://lh3.googleusercontent.com/-CGUOXqoiPPw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmskVQIumWxw1fOpNDfgvGWUw_4_w/photo.jpg,0.0,,
5362,,2020-04-08 15:56:06+00:00,,,"Die Idee ist gut, nur an der Umsetzung sollte weiter gefeilt werden. Angefangen bei der Google-Integration (Eingabe des Kontonamens fast nicht möglich) bis zur Tracker-Unterstützung sollte nachgebessert werden. Warum nicht auch eine Möglichkeit ohne zusätzliche Hardware Daten zu erheben? Ist immer noch besser, als mit reinen Dunkelziffern zu kalkulieren. Zumindest wird das Gesamtbild so etwas klarer.",,,4,1.0.1,Sascha Burghause,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GjVsB7EfdkrfU9dXZhonDOu2fQwXFJDsRGNHWkX,4.0,,
8979,,2020-04-07 14:09:50+00:00,,,"Eine tolle Sache, die ich sehr gern unterstütze. Download und Anmeldung hat bei mir problemlos geklappt. Allerdings kann ich meine Fitnessdaten nur über den Umweg via GoogleFit weitergeben, da eine Synchronsiation mit der Huawei Health App bislang nicht möglich ist. Leider wird so jedoch die Herzfrequenzmessung nicht erfasst. Es wäre toll, wenn die App-Entwickler des RKI hier noch nachbessern könnten! PS: Vielen Dank für die prompte Antwort :)",,,4,1.0.1,Monika Blanke,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GiVHBmEr9j184Az_X7-J26BIo6ro1pp8Y23ewnXGw,315.0,Vielen Dank für Ihr Feedback und die Unterstützung! Die Integration weiterer Geräte und Hersteller ist geplant.,2020-04-07T13:30:58
5756,,2020-04-08 11:27:20+00:00,,,Idee gut. Ich wäre auch gerne dabei gewesen. Aber ohne Verbindung zur Samsung Smartwatch leider nicht möglich 😐,,,4,1.0.1,Ilka Ulrich,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GjV1H3wQdmfrP7jYv5UWY1h4Q3pwYfHZq3nydBmBA,0.0,,
8163,,2020-04-07 17:21:35+00:00,,,"Irgendwann klappts: Das Registrien hat zunächst nicht funktioniert, aber nach vielen Versuchen und App Neustarts ging es dann. Die Anmeldedaten von Garmin konnte ich auch lange nicht eingeben, aber auch hier hat es iegendwann geklappt. Scheint einfach gerade überlastet zu sein",,,4,1.0.1,Martin Kessler,PlayStore,https://lh3.googleusercontent.com/-v_mTUqOQ65Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPtTrqbvKJ8H4hoZzgBZDsxcqNiQ/photo.jpg,0.0,,
9485,,2020-04-07 11:17:04+00:00,,,Bitte noch eine Mi Band Nutzungsoption beifügen.,,,4,1.0.1,Astrid Werner,PlayStore,https://lh3.googleusercontent.com/a-/AOh14Gg3I6FzltmYO2QNWmlyHFan33G0hY1-1aYQ-ExMHw,0.0,,
6142,,2020-04-08 08:27:10+00:00,,,"Gute Idee, kann aber leider Google fit nicht verknüpfen, lande in Fehler 403",,,4,1.0.1,Andreas Dirschl,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GjnFhBvYssi7KFqy3-uPrQthAfAYLZMChvhc6urZXA,0.0,,
5485,,2020-04-08 14:19:31+00:00,,,Anmelden bei Polar funktioniert erst gar nicht. Passworteingabe geht nicht. Schade bei diesem wichtigen Thema. Hinterlässt den einer Ammateur App. Update: Inzwischen konnte ich mich anmelden und die App scheint das zu tun was sie soll.,,,4,1.0.1,F. J.,PlayStore,https://lh3.googleusercontent.com/-QkIuynxejYk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmx4zgjJyboKjWOU4WJdvrghco2Pg/photo.jpg,0.0,,
8986,,2020-04-07 14:07:51+00:00,,,Hat alles beim ersten Anlauf geklappt. Habe eine Fitbit die sich problemlos verbinden ließ.,,,5,1.0.1,Anja Jäckel,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GiPuNFKCHYDhqfS75F2uGGGqX-aXnmV47jidsqWkA,0.0,,
8128,,2020-04-07 17:28:36+00:00,,,"Idee toll, aber bitte das Limit für neue Benutzer zur Verknüpfung mit Google Fit von Google erhöhen lassen. Das Teilen von Daten ist für neue Benutzer gerade nicht möglich.",,,5,1.0.1,Claas Altschaffel,PlayStore,https://lh3.googleusercontent.com/-yvVzmtjLnuk/AAAAAAAAAAI/AAAAAAAAyXk/AMZuucn2Q6e-YqtZ5fTcmxqGt9_E1qlc5w/photo.jpg,0.0,,
9308,,2020-04-07 12:26:15+00:00,,,Eine sehr gute Idee! Bei mir hat die Installation prima geklappt (Android-Smartphone und Garmin-Fitness-Armband),,,5,1.0.1,Reinhard Schüren,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GjzGp0uZBcQ9MC6DNoc4T0ibtEJJ_XBX7NhOHIeTE4,0.0,,
7809,,2020-04-07 18:36:14+00:00,,,"Dies ist die erste Bewertung, die ich überhaupt in meinem Leben schreibe, aber hier geht es m.E. um ein wichtiges Thema. Die App war in zwei Minuten eingerichtet, alles intuitiv und problemlos. Ich nutze Polar. Alles Weitere muss das RKI bewerten. Ich habe die App nicht installiert, um einen persönlichen Nutzen daraus zu ziehen, sondern um zu unterstützen. Insofern spielt Bedienung, Funktion etc. für mich keine Rolle. Good Luck RKI bei der Analyse",,,5,1.0.1,T K,PlayStore,https://lh3.googleusercontent.com/-_ThjbBCtlIQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlwUaNFtlLlEoGDaoDdwySxFxhOg/photo.jpg,7.0,,
5680,,2020-04-08 12:13:21+00:00,,,"Die Idee ist super. Schade, dass die App noch nicht mit Samsung funktioniert.",,,5,1.0.1,Tina Rieger,PlayStore,https://lh3.googleusercontent.com/--54RQyxltpI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnUccdeiCy6lJO0-To6EAHa9pZTug/photo.jpg,0.0,,
5517,,2020-04-08 13:54:44+00:00,,,"Super Idee, gerade installiert für mein Garmin Vivosmart :-) ... Ok für eine initiale 1.0.1 -Version.",,,5,1.0.1,S. Scherf,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GiekSOAPLX6ucrEgt3DO08-mpw1J05zTYVbtTm0,0.0,,
2185,,2020-04-12 11:59:33+00:00,,,Derzeit sind die Server von Google mit den vielen Anfragen der App auf die Konten von Google wohl noch etwas misstrauisch. Fehler 403: rate_limit_exceeded Ich probiere es in ei und paar Tagen nochmal.,,,5,1.0.1,Tobias Przybilla,PlayStore,https://lh3.googleusercontent.com/a-/AOh14Gjmrrp4IO0j1XlhWwRJyNQ4cHGqqqkomftDXjoD,1.0,,
8582,,2020-04-07 15:51:54+00:00,,,"Idee unterstütze ich zu 100%. Nur leider keine Verknüpfung mit Google Fit möglich, da das Google Datenlimit erreicht wurde. Vermutlich haben sich zu viele.zu schnell angemeldet!?",,,5,1.0.1,Tony Richter,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GhGoy2VsdSxzQuFzsbSd6zvUvTL4mOSYRWnAc2R,0.0,,
9258,,2020-04-07 12:40:36+00:00,,,Installation hat geklappt,,,5,1.0.1,Andi S,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GioBAdMScNFgIHa2tzRLaLnYxGoeFEmH0yLQkBNcA,0.0,,
5912,,2020-04-08 09:57:05+00:00,,,"Ich freue mich sehr, dass RKI in dieser schwierigen Situation unterstützen zu dürfen und hoffe, dass sich ganz viele Menschen an diesem Projekt beteiligen!! Bei mir hat der Download auf mein LG Smartphone wunderbar geklappt, ebenfalls die Koppelung mit dem Fitbit Tracker und App. Jetzt bin ich auf die ersten Auswertungen gespannt 😉",,,5,1.0.1,Sibylle Reißig,PlayStore,https://lh3.googleusercontent.com/a-/AOh14GgZc0TJL0ngPfV5RMu_GxGNJVE85Fu5SwOWLktjYQ,0.0,,
34,465.0,2020-04-09 18:23:53+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=10/sortby=mostrecent/5787127490,Registrierung klappt nicht,Hängt nach Eingabe der Postleitzahl.,0.0,0.0,1,1.0.2,DaniM201312,AppStore,,,,
53,446.0,2020-04-09 18:32:43+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=9/sortby=mostrecent/5787157361,Wäre eine gute Idee....,wenn man sich mit einer gültigen Postleitzahl registrieren könnte.....Habe mehrere Postleitzahlen in meiner Region getestet. Die Registrierung wird jedoch abgebrochen mit dem Hinweis „gültige 5 stellige PLZ eingeben“.    Bitte nachbessern!!!!,0.0,0.0,1,1.0.2,Chistophmambo,AppStore,,,,
68,431.0,2020-04-09 18:36:13+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=9/sortby=mostrecent/5787169142,PLZ kann nicht eingegeben werden.,App kann dadurch nicht gestartet werden.,0.0,0.0,1,1.0.2,usermh1,AppStore,,,,
76,423.0,2020-04-09 18:42:50+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=9/sortby=mostrecent/5787191035,Unbrauchbar....,"....für das RKI!
Warum? Man kann sich nicht registrieren.",0.0,0.0,1,1.0.2,Acdclive2001,AppStore,,,,
4,495.0,2020-04-09 17:44:26+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=10/sortby=mostrecent/5786991531,"Gute Idee, schlechte Umsetzung","Leider ist diese App ein Fiasko.
1. die Anzeige (gespendete Tage) funktioniert nicht 
2. gelöschte Datenquellen sind plötzlich 
wieder aktiviert
3. die Datenschutzbestimmungen sind katastrophal 

Insgesamt hat man den Eindruck, dass hier etwas Sinnvolles beabsichtigt war, aber grottenschlecht umgesetzt wurde. 
Vorschlag: Schuster (RKI) bleib bei deinen Leisten!
Man kann nur hoffen, dass die erwartete Corona-App von Profis gemacht wird !!!",0.0,0.0,1,1.0.2,Man-o-Mann,AppStore,,,,
51,448.0,2020-04-09 18:32:11+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=9/sortby=mostrecent/5787155571,Zeigt seit Tagen nur 0 an,"Schade, dass man da wieder was rausgelassen hat was nicht ausreichend 
getestet wurde bzw. funktioniert . 
Was soll das werden? 
- Ergebnisse mit hoher Fehlerquote
- Dunkelziffer in ungeahnter Höhe
- und jetzt auch noch eine App die offensichtlich bei gut der Hälfte der Benutzer funktioniert.  Traurig !",0.0,0.0,1,1.0.2,worldtourer07,AppStore,,,,
41,458.0,2020-04-09 18:28:49+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=10/sortby=mostrecent/5787144201,"Luft nach oben, bis jetzt Schrott","App scheint mit iOS 13 nicht richtig zu laufen: Datenspende 0 (!) Tage... seit Erstinstallation 👎
Warum wird die App selbsttätig auch am iPad installiert wenn es dort kein Health gibt?",0.0,0.0,1,1.0.2,eg_s,AppStore,,,,
128,371.0,2020-04-09 20:39:58+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=8/sortby=mostrecent/5787573445,Funktioniert Nicht,Funktioniert nicht,0.0,1.0,1,1.0.2,Atwime,AppStore,,,,
84,415.0,2020-04-09 18:46:52+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=9/sortby=mostrecent/5787204745,Postleitzahl wird nicht angenommen,Postleitzahl aus dem Landkreis München wird nicht angenommen. Somit wertlose App da Einrichtung nicht beendet werden kann. Wenn schon Postleitzahlen erfasst werden dann sollten auch alle in Deutschland eingegeben werden können.,0.0,0.0,1,1.0.2,Nobird MUC,AppStore,,,,
78,421.0,2020-04-09 18:44:21+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=9/sortby=mostrecent/5787196294,Gute Idee und nichts dahinter,"Die Idee ist klasse, deshalb unterstütze ich das auch. Allerdings gibts 0,0 Feedback, ob Daten gesendet werden und was damit passiert. 

Ich könnte genau so gut ein Screenshot der App anschauen.",0.0,0.0,1,1.0.2,Philipptikus@Home,AppStore,,,,
61,438.0,2020-04-09 18:34:31+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=9/sortby=mostrecent/5787163404,Die Idee ist gut...,... die Umsetzung jedoch nicht. Keine Rückmeldung ob Daten erhalten wurden. Der Zähler steht auf null. Nach Neuinstallation hänge ich an der PLZ Eingabe.,0.0,0.0,2,1.0.2,p371e,AppStore,,,,
32,467.0,2020-04-09 18:23:00+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=10/sortby=mostrecent/5787124395,PLZ Eingabe nicht möglich,"Nach der Eingabe kommt -> bitte geben sie eine 5-stellige PLZ ein und nach der Eingabe meiner PLZ erhalte ich eine Fehlermeldung, dass ich eine gültige PLZ eingeben soll. Meine PLZ war jedoch gültig. Bitte Fehler beheben",0.0,0.0,2,1.0.2,Julie-lein,AppStore,,,,
93,406.0,2020-04-09 18:57:33+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=9/sortby=mostrecent/5787240765,Idee gut ... aber,"Die Idee ist gut und ich unterstütze das voll und ganz. 
Aber die App scheint nichts zu machen.  
Der Zähler steht Sturm auf NULL

Als Helfer möchte ich dann schon gerne ein Feedback das meine Spende auch angekommen ist.",0.0,0.0,2,1.0.2,Ruhm79,AppStore,,,,
36,463.0,2020-04-09 18:25:50+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=10/sortby=mostrecent/5787134161,Feedback,"Ich würde ja gerne mitmachen, aber mein Postleitzahl läd sich nicht und ich komme keinen Schritt weiter",0.0,0.0,2,1.0.2,Anna2020%,AppStore,,,,
102,397.0,2020-04-09 19:17:31+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=8/sortby=mostrecent/5787306372,Ausnahmsweise...,"Bin sonst sehr geizig mit Daten, aber das muss man unterstützen.

...

Nach einigen Tagen steht die Anzeige auch bei mir noch auf 0. Wenn das sich nicht ändert, werde ich die App löschen. Schade.",0.0,0.0,2,1.0.2,Marlene1709,AppStore,,,,
121,378.0,2020-04-09 20:10:59+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=8/sortby=mostrecent/5787481210,Kinderleicht und null Kommunikation,"Die Einrichtung ist kinderleicht.
Der Datenschutz scheint wirklich gut umgesetzt worden zu sein.
Jedoch erhält der Nutzer exakt null Information über die gespendeten Daten.
Der Zähler für die „Anzahl der gespendeten Tage“ steht immer auf Null.
Sogar unter Einstellungen->Health->Datenzugriff und Geräte->Datenspende->Daten findet man lediglich „Keine Daten gefunden“.
Es scheint als würden gar keine Daten ausgelesen. Wozu also diese App?
Einen Support gibt es nicht. Im Appstore wird auf die Seite des RKI verwiesen und die Seite des RKI verweist auf den Appstore.
Man hat also gar keine Chance einem Entwickler die Frage nach den nicht ausgelesenen Daten zu stellen.
Das ist die schlechteste Kommunikation die ich jemals erlebt habe.",0.0,0.0,2,1.0.2,AlexAnteMachina,AppStore,,,,
103,396.0,2020-04-09 19:17:45+00:00,http://itunes.apple.com/DE/rss/customerreviews/id=1504705422/page=8/sortby=mostrecent/5787307129,"Idee ist gut, aber unklar ob Daten übertragen werden","Nach der Installation und Verknüpfung mit Apple Health bleibt die Anzeige der gespendeten Tage beharrlich auf “0” stehen. 
Ich würde gern Daten spenden, aber es bleibt unklar, ob was übertragen wurde und ob die App evtl nicht richtig funktioniert. 
Etwas mehr User Feedback wäre hilfreich....",0.0,0.0,2,1.0.2,sigikid-de,AppStore,,,,
