,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
10,Anja Kahlki,https://lh3.googleusercontent.com/a-/AOh14GgXt0lfcOLvj4BCYn4H7s1Fdez8UdoacVaRhjPLGw,Funktioniert. Die Einrichtung ist einfach und schnell zu handhaben.,5,0,1.0.9,2020-05-04T22:35:33,,
11,Lennart G.,https://lh3.googleusercontent.com/a-/AOh14GgaqvOpYJ3HkkMK8yswB_avttN1T78P-fbJukTU1g,"Eigentlich eine super Idee - Aber... Ich habe ein Honor Band 5 und nutze dementsprechend die App Huawei Health. Diese ist leider nicht kompatibel mit der Corona Datenspende, was ich sehr schade finde. Ich konnte aber Huawei Health mit meinem Google Fit Account verknüpfen und diesen dann mit der App verbinden. Es werden aber leider nicht alle Daten genau übertragen, was - vor allem bei der Schlafdauer sehr komisch ist (9 H → ~5 H). Man könnte diese Kompatibilitätsprobleme Mal beheben. Sonst gut!",4,0,1.0.9,2020-05-04T21:04:30,,
12,Manfred Tiimus,https://lh3.googleusercontent.com/a-/AOh14GgvImKtWADNY13iBo8C23-g4bMeFPeyWlC-pUKchtk,"Warum sind nur so wenige Hersteller vorhanden? Würde die App echt gerne nutzen. Aber es fehlt z. B. HUAWEI / Honor. Wann werden diese vorhanden sein? So kann ich die App nicht nutzen. Nachdem wir nun Anfang Mai haben und Huawei immer noch nicht mit dabei ist, habe ich icdie App wieder deinstalliert. Schade, das hier so schlechte Dienstleister dahinter stecken",1,0,1.0.2,2020-05-04T20:17:26,,
13,Fabian Reinike,https://lh3.googleusercontent.com/-d3n0sUT3-Ew/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNieAortW-nYKsgAv6RUKupX7LRnQ/photo.jpg,"Update 04.05.2020 Die Mail Adresse kann man nun über den GoogleLogIn eingeben, Copy+Paste in das Feld fürs Passwort tut immer noch nicht! Auch der LogIn mit neu aufgesetztem Handy tut nicht, die auf dem Handy lokal vorhanden Konten werden gar nicht abgefragt, also weiterhin kein SingleSignOn! Im Jahr 2020 weiterhin unbrauchbar. Weitere Dienste wie Samsung oder MiFit fehlen weiterhin. So besiegen wir Corona nicht!",1,1,1.0.4,2020-05-04T19:40:18,,
14,JOJO Konichiwa,https://lh3.googleusercontent.com/a-/AOh14GhPYYTwq4p8qXkncyt20E_QInjsintet5-OPhIjDQ,Anmeldung bei Garmin funktioniert nicht. Es erscheint ein Server-Fehler(?).,3,1,1.0.9,2020-05-04T19:28:00,,
15,Dina Necke,https://lh3.googleusercontent.com/a-/AOh14GjXGQfvuI9ti9YXQ-nVd9B356AIJN5LEScWHXcEYQ,Funktioniert tadellos mit Huawei und Garmin.,5,0,1.0.8,2020-05-04T18:27:39,,
16,Marina,https://lh3.googleusercontent.com/-nYd-j-NVCj8/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPW0EfxUAAYyAaznai4DLLh7JgLjw/photo.jpg,"Würde gern diese App unterstützen, doch die Produkte von Samsung werden leider nicht aufgelistet. Kann keine Verbindung herstellen, Schade.",1,0,1.0.9,2020-05-04T18:16:03,,
17,J O,https://lh3.googleusercontent.com/a-/AOh14GiBUsmw4dho3W7xtM8EV2dE8F0GEUqf0NS0J6riMA,Unbrauchbare App....armes Deutschland wenn das das Ergebniss nach wochenlanger Diskussion ist....direkt wieder gelöscht...,1,0,1.0.9,2020-05-04T18:07:41,,
18,J 3,https://lh3.googleusercontent.com/-nnMr7DDByQ0/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMQ-l6riHNKJ3zX055D-KdkIjSDpg/photo.jpg,"Lässt keine Eingabe von ""@"" zu, damit keine Anmeldung möglich. Kein Nutzen.",1,0,1.0.9,2020-05-04T17:39:16,,
19,Manfred Kemp,https://lh3.googleusercontent.com/a-/AOh14GiE3GSuzULZiBoDTMxJSq39wLpeI3hw0q66mR3MzKc,Update 04.05.: Mit dem Umweg über Google Fit geht es. Garmin weiter verbuggt.,3,0,1.0.9,2020-05-04T13:16:28,,
20,Danny Trommer,https://lh3.googleusercontent.com/a-/AOh14GiUbrDG8mKP1siP8u6EZKjOzb1yV5PYLZlrJPuaRg,"Keine Funktion mit Samsung, daher deinstalliert.",1,0,,2020-05-04T12:58:57,,
21,Achim K.,https://lh3.googleusercontent.com/a-/AOh14GgonjwJYrr1oxAivBhhONRfLxzhDUTAp-XDhyGFxQ,"Nach dem Update der App lässt sich keiner der Hersteller der Uhren mehr auswählen. (Android 9) Meldung: Verbindung nicht möglich, Server problem. Seit 3 Wo wird jetzt da dran rumgemurkst, immer ein anderer Fehler!",1,2,1.0.9,2020-05-04T12:54:32,,
22,Julia G.,https://lh3.googleusercontent.com/a-/AOh14GhS50YegPIDUDA-aZkUuCSuFsNNSCmSQIPojz4geA,"Ich würde mich gerne über Google anmelden, bekomme dann aber Fehler 403: rate_limit_exceeded. Ich hoffe eine Anmeldung in den nächsten Tagen klappt dann...",5,0,1.0.9,2020-05-04T11:44:20,,
23,Manuel Blechschmidt,https://lh3.googleusercontent.com/a-/AOh14GicjbSUVGBP2GvKIOq6a0RCU-gI55bE_HDe5ZfkHw,"Gab am Anfang Herausforderung mit Google Fit. Funktioniert jetzt aber problemlos. Grundsätzlich hat diese App wenig Funktionen und zeigt nur die Anzahl der gespendeten Tage an. Für die Übernahme von Google Fit Daten ist wahrscheinlich aus technischer Sicht gar keine App notwendig. Insgesamt aber sehr gute Arbeit. Das RKI bringt hier die Forschung voran mit einer guten Idee. Wir werden sehen, welche Erkenntnisse wir gewinnen.",5,0,1.0.9,2020-05-04T11:27:18,,
24,Simon Marschall,https://lh3.googleusercontent.com/-0rHzZi57nPI/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJP5H6hOs0cT8Qn5fglKeh58Z-Ckag/photo.jpg,"Leider wurde heute die Zahl meiner gespendeten Tage falsch mit Null angezeigt, obwohl ich seit einer Woche dabei war (Fehler inzwischen behoben). Verbunden bin ich über Google Fit. Ansonsten ist die App schlicht, Einrichtung war einfach und schnell. Ein paar prägnante Infos über den richtigen Gebrauch der Wearables wäre sinnvoll (Hinweise wie: 'Nehmen Sie das Band nicht länger als x Stunden zum Laden ab.') Ich hätte gerne eine Rückmeldung, dass die gespendeten Daten brauchbar sind.",3,1,1.0.9,2020-05-04T10:25:09,,
25,Catrin Hundertmark,https://lh3.googleusercontent.com/-A4ORJsz79_Y/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMcJEPwL7PGbek6x14DXf_cZQuoKQ/photo.jpg,"Funktioniert sehr gut. Habe die App bereits seit 24 Tagen und die App hat fleißig 24 Tage übertragen 😀. Habe ein Letv-Handy (China-Handy) mit Android und eine Fossil-Smartwatch. Die App wird nicht mit der Smartwatch verbunden sondern mit einer Fitness-App, welche über die Smartwatch genutzt wird. In meinem Fall ist es die GoogleFit.",5,1,1.0.9,2020-05-04T09:44:32,,
26,Familie K.,https://lh3.googleusercontent.com/a-/AOh14GjZDoeffRHDXBwkxnmyAziYaKwv2PQBOOtbU-kZ,Läuft über Google fit. 5 Sterne gibt es wenn es mit Samsungs Galaxy Watch auch geht.,3,0,,2020-05-04T09:29:43,,
27,Klaus Müller,https://lh3.googleusercontent.com/-9VtuvWfepSc/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOLZ5tFPV17pyM6gARpaNLWqQ7IKA/photo.jpg,"Funktioniert sie auch? Hab sie in Kombination mit garmin 935. Nach einer Woche zeigt sie null gesendete Tage an. Vielleicht bekommt sie es nicht Synchronisiert, wenn sie nicht dauernd online (bluetooth + Internet) ist?",2,1,1.0.9,2020-05-04T08:24:12,,
28,Stephan Chlopek,https://lh3.googleusercontent.com/-tp5G3Wg3Z6o/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNlRFr08uERl42_7LdLRYjc4l8img/photo.jpg,"Der Benutzer wurde nicht registriert ein Problem mit dem Server ist aufgetreten und das war's , klappt ja super",1,1,1.0.9,2020-05-04T06:36:04,,
29,Natalie Pfeifer,https://lh3.googleusercontent.com/a-/AOh14GjkUbQrT2SscazjPc-jq8NRiwLxIIdnQiqQi_e9mg,Die App kann mich nicht registrieren.,1,1,1.0.9,2020-05-04T06:26:20,,
30,Tzutzumo,https://lh3.googleusercontent.com/-0STlR3PDSwA/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJN7Oi2nb9IjdRmQDy9l812_Mq2p3g/photo.jpg,"Mi Band 4 muss mit Google Fit verbunden werden in der Mi Fit App. Generell halte ich es für keine gute Idee, solch eine App von Wearables abhängig zu machen, wo kaum einer sowas besitzt. In meinem Verwandten- Bekannten- und Freundeskreis bin ich zBsp. der Einzige. Es ist halt Deutschland und nicht China. Bei uns kann man schon froh sein flottes Internet zu haben. Ansonsten ist die App gut gemacht. Übersichtlich und einfach.",3,10,1.0.9,2020-05-04T05:43:23,,
31,Katharina Weber,https://lh3.googleusercontent.com/a-/AOh14Gjy6U0eIJ0ACvNxo2iLG1yocQX8LiYM-KPkGXGDLg,Update heute meine gespendeten sind weg. Woran liegt es an der RKI-App oder an Googlefit? Find ich echt Schade,3,1,1.0.9,2020-05-04T05:33:56,,
32,Hansi Kronenberger,https://lh3.googleusercontent.com/a-/AOh14GhRse-YZ-GktgZOaEo20cBE_MRSpZO2tUP-qeidftU,Funktioniert mit dem Huawei Honor Band 5 in Verbindung (Sync) mit Google Fit problemlos.,5,0,1.0.9,2020-05-04T04:01:08,,
33,lycrite,https://lh3.googleusercontent.com/a-/AOh14GhgZaLJNaaV7yV2Ae0OKJ57aV8HipMPVLLBNiCUOQ,"Die App tut hoffentlich, was sie soll. Aber leider werden wichtige Anbieter wie Samsung Uhren nicht direkt unterstützt, was ich sehr schade finde, daher nur 4 Sterne.",4,0,1.0.9,2020-05-04T01:28:32,,
34,Bari Gepper,https://lh3.googleusercontent.com/a-/AOh14Gij_cOrz5nP__yRJo6DfPdR54TiiurgsCWaT2g2ow,wollen uns alle nur kontrollieren.,1,0,,2020-05-04T00:21:19,,
35,Sascha Simmet,https://lh3.googleusercontent.com/-oHPlcf2xofk/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOQewaUQvHbvNNVxij3KJs77MgrAA/photo.jpg,Leider nicht mit Samsung???🙈🙈🙈 Weltgrösster Hersteller... Unkompetent???,1,0,1.0.4,2020-05-03T23:36:53,,
36,Oliver Wieckhorst,https://lh3.googleusercontent.com/a-/AOh14Gj2tx9oPTEvKnDXhYvp6awO6ooNr5fPjdr-A3I7rCQ,Samsung-Geräte stehen leider nicht unter Wearables zur Verfügung. App ist daher für mich nicht nutzbar. Bisher absoluter Müll.,1,0,1.0.9,2020-05-03T23:27:43,,
37,Andreas Schenkewitz,https://lh3.googleusercontent.com/-mwbcC0klbZk/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNNxJcoiCsCRojoLQEb2XZyeOQczA/photo.jpg,"Sehr einfache Einrichtung. Wenn es dann hilft, soll es so sein.",5,0,1.0.9,2020-05-03T22:06:33,,
38,M Klug,https://lh3.googleusercontent.com/-IU75vIlmnnc/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOOXl7wqAKW20nGsTMAfZ7bRL0qiA/photo.jpg,Leider kein Support für Suunto.,1,0,1.0.9,2020-05-03T22:03:52,,
39,Der Thomas,https://lh3.googleusercontent.com/-mI0rYrxsI9o/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOonN0Lh980-jjPnUBWgf6nZpj4wQ/photo.jpg,Keine Impflicht und wir sind das Volk!!!!!!,1,1,,2020-05-03T21:35:05,,
40,Felix Preiß,https://lh3.googleusercontent.com/-7UyiE7OPLwA/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPrj1J9UtW2Zl_PGYTVXAFxh4GA9A/photo.jpg,"Gute Idee, mangelhafte Konzipierung...",1,0,,2020-05-03T20:55:07,,
41,Lukas Hrazdil,https://lh3.googleusercontent.com/a-/AOh14GhvaQ7yrrIcaJoWDLx4SSw6YKwwBZw56n3NXGfd,"Tolle App, aber die Anbindung an Samsung Health fehlt.",4,0,1.0.9,2020-05-03T20:39:13,,
42,Louis Schreiber,https://lh3.googleusercontent.com/a-/AOh14GiXspLHsbiuYtbhk2UuYUch7Y4Q9A9RckVqZxnDcw,"Leider Unterstützt die App, wie erwartet, nicht Samsung Wearables.",1,0,1.0.9,2020-05-03T20:11:04,,
43,Philipp Schirmer,https://lh3.googleusercontent.com/a-/AOh14Ggkbqzy1DfkycRYAIsHteic2TK0qFLK4t0Vzbzr5HU,"Seid einer Woche installiert, mit Garmin erfolgreich verbunden, bis heute kein Tag übertragen. Scheint wenig Sinn zu machen. Udate: Nach weiteren 10 Tagen keine Besserung/Veränderung, keine Daten werden übertragen. -> Nutzlos! Update: Mittlerweile geht's, wer hätte es gedacht! Geändert von 1 auf 4 Sterne",4,3,1.0.9,2020-05-03T16:51:25,,
44,Tobias Lang,https://lh3.googleusercontent.com/a-/AOh14GjPbcIZEdz_t5PWZic7-ggLrmmZ454zzu5USXOlTko,"Man kann, wenn man in seinem Google Konto, ein sehr komplexes Passwort hat, dieses nicht in den entsprechenden Kasten kopieren. Was soll das? Und kommt mir keiner mir Datenschutz!!! Ergo App nutzlos....",1,1,1.0.9,2020-05-03T14:18:37,,
45,Lasse Martens,https://lh3.googleusercontent.com/-sXCqXOJrZXI/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNxojNz8DH5WlUzCDGGmDi_4Or3hQ/photo.jpg,"Idee gut, aber Samsung health fehlt und über google fit zu gehen möchte ich nicht",2,0,1.0.9,2020-05-03T14:03:05,,
46,Tanja Kress,https://lh3.googleusercontent.com/a-/AOh14GhDy5MBiEtFMvSov7ZQ1EYDW6NhKlnMy5hV4X9n,Hoffe das ich ein wenig dazu beitragen kann den coronavirus zu verstehen,5,0,1.0.9,2020-05-03T12:19:37,,
47,Kalle T.,https://lh3.googleusercontent.com/a-/AOh14GhZqroH58KaYkrx55wzs_6UCd-JmczElDB1mlMkcA,"02.05.2020 - keine Veränderung, schade. Leider für mich und alle die Samsung Health verwenden, und das dürften sehr viele Menschen sein, nicht nutzbar. Es ist leider keine Schnittstelle hierfür vorhanden. Die App finde ich gut, einfach und intuitiv zu bedienen. Bitte Unterstützung zu Samsung Smartwatch / Samsung Health implementieren.",1,5,1.0.7,2020-05-03T12:04:34,,
48,Conny Schubert,https://lh3.googleusercontent.com/a-/AOh14GgyoWHcRhdVJt2vjzkuTzeeRr1UnUeXefnS9QZcxg,Die Idee ist gut. Die Verbindung zu Google Fit funktioniert auch gut. Nur Google Fit ist nicht optimal.,4,0,1.0.8,2020-05-03T11:58:12,,
49,Michal Stopka,https://lh3.googleusercontent.com/-dVi0YFU1NEA/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOObGo07ObFVkvunEUhWgtQdailqQ/photo.jpg,Ich habe die App nur kurz installiert um hier meine Meinung darüber zu schreiben. Die Idee finde ich grundsätzlich nicht schlecht. Die Umsetzung ist aber eine Katastrophe!,1,2,1.0.9,2020-05-03T11:44:27,,
50,Jörn Fehmer,https://lh3.googleusercontent.com/-TTuSup57zzQ/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNzVhKI76QHBDyYrBNKiBFh4JE8RQ/photo.jpg,Ich kann nicht verbinden weil mein SmartWatch von Willful ist die App hat nur fünf Hersteller das kann ich nicht nach voll ziehen jeder Bürger hat andere SmartWatch von anderen Hersteller damit meine SmartWatch mit der App verbinde brauche ich VeryFitPro,1,1,1.0.6,2020-05-03T11:08:50,,
51,Thhomas L,https://lh3.googleusercontent.com/-_ThenwxbaB8/AAAAAAAAAAI/AAAAAAAAAKA/AAKWJJOK99xleDRykmkb0mFR0_A7lcpCKQ/photo.jpg,"07.04. Keine Anmeldung am Google-Dienst möglich. 08.04., 20:20 Uhr. Es gab ein Update der App, die Anmeldung ist aber weiterhin nicht möglich. 09.04., 09:00 Uhr. Ich konnte mich jetzt anmelden. 22.04.: App neu installiert. Die Eingabe vom FIT-Passwort ist nach kurzer Zeit gesperrt. 25.05.: Das heutige Update hat mein Problem nicht behoben. Könnte man doch wenigstens sein PW in das Feld kopieren...aber auch das ist gesperrt. 03.05. Keine Verbesserung",1,54,1.0.9,2020-05-03T10:32:36,,
52,Andreas Rühl,https://lh3.googleusercontent.com/a-/AOh14GhUedKywcNSdWZvCtK0PqXCOVV4NxAE-6sU8HBszw,Nach dem Update funktioniert nun alles was erkenntlich ist. Google Fit ist verbunden und Polar.,5,0,1.0.8,2020-05-03T10:05:09,,
53,Hartmut Tomcin,https://lh3.googleusercontent.com/-Sd9iXh3f8gg/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJO5BpN-RnspH8zo4UAmHlO70e42ZA/photo.jpg,Leider nicht mit Samsung Smartwatchs kompatibel. Auch ein Google Fit Konto lässt sich nicht eintragen. Vorheriges Testen wäre schön. Scheint nicht mit Android 10 zu funktionieren. Ich kann mit meinen Samsung 20 Ultra keine Daten zum Login eingeben.,1,1,1.0.9,2020-05-03T09:30:40,,
54,Ramon Roesmer,https://lh3.googleusercontent.com/-OFC0UgMQxzg/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNQF_LOXvJVAA3l2TyffK7HErxfog/photo.jpg,Nach mehreren Updates immernoch kein Support für Samsung Health. Wann wird endlich der am weitesten verbreiteten Fitness App hierzulande unterstützt?,1,1,1.0.8,2020-05-03T09:26:19,,
55,M Thomas,https://lh3.googleusercontent.com/-lkXx1YvfMrE/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNi6jW9D46wLW5b5AWQdxsZBFYmPQ/photo.jpg,Scheinbar gibt es keinerlei Bestrebungen die sehr beliebten Xiaomi Bänder zu integrieren.,3,1,1.0.9,2020-05-03T09:05:28,,
56,Anne D,https://lh3.googleusercontent.com/a-/AOh14Gj1mV-wS7nqeUFbff4MDK7Ew39gPwAJJnoRWqzHfA,Es dauerte einige Tage bis sie die Daten annahm. Man muss nur etwas Geduld haben. Aber seit dem funktioniert sie und überträgt täglich die Daten. Hoffentlich bringt sie dem Empfänger genügend auswertbare Daten. Ich habe eine Garmin Uhr.,5,0,1.0.9,2020-05-03T08:51:14,,
57,Kea Göstenkors,https://lh3.googleusercontent.com/a-/AOh14GjhTnAAFIP5SwhMI8UllqVbcoBSVDC75jDJlXFf,Koppeln klappt nicht,1,0,1.0.8,2020-05-03T08:47:13,,
58,Ralf Stettinger,https://lh3.googleusercontent.com/a-/AOh14Gixt9lEnlpVcHqpI6pUf9Ar4_Zzdo46-mBvp3ecPxM,Die App funktioniert nur leider die Verknüpfung über Google-Fit nicht aufgrund einer Limitierung von Google was die max. Anfragen angeht.,5,0,1.0.8,2020-05-03T07:31:27,,
59,G Nutzer,https://lh3.googleusercontent.com/-GNnawXlhSMo/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPINgKW8yyDNVDEqn4g0RxIgNZxvg/photo.jpg,Funktioniert noch nicht mit dem neuen Xiaomi Band 4. Schade sonst würde ich die App benutzen.,1,1,,2020-05-03T07:28:04,,
60,Bernd Friedrichs,https://lh3.googleusercontent.com/a-/AOh14GjL-QcXpljEy9gJoFrxDOY8zQgy1046HRI5K3g5PA,Leider kann ich mich nicht anmelden. Weder wird Huawei Health unterstützt noch kann ich mich bei Google fit anmelden.,1,0,1.0.9,2020-05-03T07:20:48,,
61,Horst Wohlfarth von Alm,https://lh3.googleusercontent.com/-jbGxWY5mUb0/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOA2MC06_BBFokGcvYQS1VJcUdUpA/photo.jpg,"Es wäre schön, wenn es auch eine Datenverbindung zu Samsung Health gibt. Es",3,0,1.0.9,2020-05-03T06:53:12,,
62,Stefan M,https://lh3.googleusercontent.com/-wFuzHwuc3sk/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNFpCygFqdRbFdRTNJs0afDZRUcYQ/photo.jpg,"Ich würde ja gerne mitmachen, aber ich habe Samsung",3,1,1.0.9,2020-05-02T23:05:10,,
63,patrick lorber,https://lh3.googleusercontent.com/a-/AOh14GgpUmJjffjmxnPprxgcPapXKkuH0QBfiz7HHxJ_,Ich Habe mir heute ihre App installiert leider nutze ich über meine Smartwatch die App Samsung Health wäre super wenn diese auch bei dem nächsten update als Datenquelle verfügbar wäre.,2,1,1.0.8,2020-05-02T22:57:44,,
64,Josef Szasz,https://lh3.googleusercontent.com/a-/AOh14GiOvb_mpnT62hJ-m7C6sc33FP_ts_JbzGcfe1FA,"Sehr gute Idee und app, Sie sollten schnellstens auch Andre wie Samsung Huawei Hinzufügen. Für denn Zweck der App 5st Möchte korrigieren : Läuft ewandfrei",5,0,1.0.9,2020-05-02T22:46:54,,
65,Evelyn Schulz-Weippert,https://lh3.googleusercontent.com/-pCSAcln6nVo/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPnsewotuJ5-K3r2DQrA4B0mR0-EQ/photo.jpg,"Leider zeigt die App immer nur 0 gespendet Tage an, obschon ich die App seit dem Tag ihres Erscheinens verwende und sie auch mit meinem Garmin verbunden ist.",3,0,1.0.9,2020-05-02T21:14:13,,
66,Maik Utz,https://lh3.googleusercontent.com/a-/AOh14GhH4VNfoHpUttmOKd0vvjs0HZ0Tu3XJmH7cPs_loA,Wer sich freiwillig ausspionieren lassen will hat deutlich einen an der Klatsche.,1,0,,2020-05-02T20:29:59,,
67,Jens Hansen,https://lh3.googleusercontent.com/a-/AOh14Gi5A-JytShq1XlxuCarZ-RsSshai3MlPjh9tsGMlr4,"Mit Verbindung zu Garmin scheint die App nicht funktionieren. Die Anmeldung funktioniert zwar, aber es werden immer unter ""gespendet"" 0 Tage angezeigt - obwohl die App seit Tagen installiert ist. App läuft auf Android 9 Update: Jetzt funktioniert es einwandfrei.",4,1,1.0.9,2020-05-02T19:56:35,,
68,Detlef Dybiona,https://lh3.googleusercontent.com/-862Wh_1XEYs/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOn3qnHwKFQ4YzPSQrWOWp4MHaYOA/photo.jpg,"Geht seit 12 Tagen ohne Probleme, bis heute (02.05.20) alles problemlos",5,0,1.0.9,2020-05-02T19:43:47,,
69,Reinhard Schoppe,https://lh3.googleusercontent.com/a-/AOh14GiOY44q3NB54A5VoCD5KXx1k_coqSc5b2CInIrNGcw,Ich wünsche mir das auch Huawei unterstützt wurde wie meine GT2 um alle Daten zu bekommen,3,0,1.0.9,2020-05-02T19:34:40,,
70,Josef Seekatz,https://lh3.googleusercontent.com/a-/AOh14GjwkFaTjdUG7FHqf2aAxP3iFH4REpaAKhksFwF-dw,"Wird Leider nicht für mein Xiaomi und Huawei unterstützt, hätte gerne daran teilgenommen!",1,1,1.0.8,2020-05-02T19:20:20,,
71,Hannes Beyer,https://lh3.googleusercontent.com/-IDkA-iyZZRQ/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNVInPQ56Ym3feNdw_bVU8mCXdacQ/photo.jpg,zieht den Akku des Trackers extrem schnell leer. Verwendetes Gerät: FitBit Charge 2,2,0,1.0.9,2020-05-02T19:12:02,,
72,Christian Schlechte,https://lh3.googleusercontent.com/-c9VXYxaGl2M/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOoUZBsw8vbqBn8mA-92KfcjmHdjQ/photo.jpg,Sollte doch anonym sein. Wieso also mit der Fitness App verbinden,2,0,1.0.8,2020-05-02T19:02:17,,
73,Matthias M.,https://lh3.googleusercontent.com/-AZymn_rCYQs/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPgQhtvU5_rBVxpG6U1y-OOURnQTQ/photo.jpg,Sowas schlechtes!!! Habe eine Samsung Galaxy Active Watch. Immernoch nicht kompatibel mit der App. Wahrscheinlich erst wenn Corona Geschichte ist. Daher unbrauchbar!!!,1,0,1.0.9,2020-05-02T18:53:43,,
74,Franz Wagner,https://lh3.googleusercontent.com/a-/AOh14Gjq14V0ALpbV_UOURmEQzaT9rjCSnxEbRs2IePA,2x versucht mich anzumelden. Leider gescheitert. Warum kann man in den Eingabe Felder keine Adressen und Passwörter kopieren. Unverständlich,1,0,,2020-05-02T18:21:31,,
